timestamp,main_meter,community_center
2017-01-01T00:00:00Z,50586850,1593373
2017-02-01T00:00:00Z,50885430,1597788
2017-03-01T00:00:00Z,51155270,1607071
2017-04-01T00:00:00Z,51555950,1611675
2017-05-01T00:00:00Z,51684682,1617219
2017-06-01T00:00:00Z,51748982,1625088
2017-07-01T00:00:00Z,51832254,1641251
2017-08-01T00:00:00Z,51921770,1650595
2017-09-01T00:00:00Z,51986210,1663533
2017-10-01T00:00:00Z,52050305,1699664
2017-11-01T00:00:00Z,52125590,1704380
2017-12-01T00:00:00Z,52253802,1707101
2018-01-01T00:00:00Z,52409651,1710991
2018-02-01T00:00:00Z,52501472,1716200
2018-03-01T00:00:00Z,52573230,1721431
2018-04-01T00:00:00Z,52626655,1727632
2018-05-01T00:00:00Z,52742422,1733709
2018-06-01T00:00:00Z,52870243,1744594
2018-07-01T00:00:00Z,52988990,1754285
2018-08-01T00:00:00Z,53139912,1772352
2018-09-01T00:00:00Z,53277412,1785265
2018-10-01T00:00:00Z,53404915,1793302
2018-11-01T00:00:00Z,53545111,1804835
2018-12-01T00:00:00Z,53669982,1804316
2019-01-01T00:00:00Z,53787562,1808344
2019-02-01T00:00:00Z,53962431,1816681
2019-03-01T00:00:00Z,54079390,1820160
2019-04-01T00:00:00Z,54201330,1824002
2019-05-01T00:00:00Z,54467208,1830055
2019-06-01T00:00:00Z,54639632,1833081
2019-07-01T00:00:00Z,54853537,1845989
2019-08-01T00:00:00Z,55178891,1854822
2019-09-01T00:00:00Z,55396673,1863045
2019-10-01T00:00:00Z,55552555,1870229
2019-11-01T00:00:00Z,55612971,1875801
2019-12-01T00:00:00Z,55675212,1886697
2020-01-01T00:00:00Z,55732460,1889760
2020-02-01T00:00:00Z,55782903,1892995
2020-03-01T00:00:00Z,55850099,1897541
2020-04-01T00:00:00Z,55910138,1900756
2020-05-01T00:00:00Z,55959520,1905668
2020-06-01T00:00:00Z,56026490,1913358
2020-07-01T00:00:00Z,56084175,1925767
2020-08-01T00:00:00Z,56161312,1929799
2020-09-01T00:00:00Z,56315475,1936771
2020-10-01T00:00:00Z,56424435,1944323
2020-11-01T00:00:00Z,56537412,1949351
2020-12-01T00:00:00Z,56665600,1953040
2021-01-01T00:00:00Z,56761930,1953647
2021-02-01T00:00:00Z,56898085,1954133
2021-03-01T00:00:00Z,57026780,1954562
2021-04-01T00:00:00Z,57199580,1958140
2021-05-01T00:00:00Z,57343775,1968237
2021-06-01T00:00:00Z,57554958,1970248
2021-07-01T00:00:00Z,57772780,1976830
2021-08-01T00:00:00Z,57854015,1985266
2021-09-01T00:00:00Z,57899170,1992011
2021-10-01T00:00:00Z,57937335,1998313
2021-11-01T00:00:00Z,57959020,2001968
2021-12-01T00:00:00Z,57980305,2003785
2022-01-01T00:00:00Z,57996295,2005120
2022-02-01T00:00:00Z,58015895,2006300
2022-03-01T00:00:00Z,58038990,2007292
2022-04-01T00:00:00Z,58069430,2010029
2022-05-01T00:00:00Z,58102400,2014175
2022-06-01T00:00:00Z,58133160,2014175
2022-07-01T00:00:00Z,58172000,2035646
2022-08-01T00:00:00Z,58231440,2061450
2022-09-01T00:00:00Z,58314550,2061450
2022-10-01T00:00:00Z,58369125,2087753
2022-11-01T00:00:00Z,58422885,2087994
2022-12-01T00:00:00Z,58475635,2094323
2023-01-01T00:00:00Z,58571930,2099074
2023-02-01T00:00:00Z,58753820,2104473
2023-03-01T00:00:00Z,58938985,2110894
2023-04-01T00:00:00Z,59019040,2115106
2023-05-01T00:00:00Z,59136380,2121014
2023-06-01T00:00:00Z,59239765,2129461
2023-07-01T00:00:00Z,59280530,2136017
2023-08-01T00:00:00Z,59336485,2136017
2023-09-01T00:00:00Z,59383355,2151707
2023-10-01T00:00:00Z,59452935,2155472
2023-11-01T00:00:00Z,59485605,2158823
2023-12-01T00:00:00Z,59513800,2162903
2024-01-01T00:00:00Z,59550760,2162903
2024-02-01T00:00:00Z,59606590,2168876
2024-03-01T00:00:00Z,59637600,2168876
2024-04-01T00:00:00Z,59661145,2174451
2024-05-01T00:00:00Z,59689705,2177182
2024-06-01T00:00:00Z,59722450,2186622
2024-07-01T00:00:00Z,59752355,2198883
2024-08-01T00:00:00Z,59798860,2216777
2024-09-01T00:00:00Z,59835175,2222894
2024-10-01T00:00:00Z,59869145,2222894
2024-11-01T00:00:00Z,59895970,2222894
2024-12-01T00:00:00Z,59922025,2234310
2025-01-01T00:00:00Z,59951900,2234310
2025-02-01T00:00:00Z,59971600,2168876
2025-03-01T00:00:00Z,59992575,2168876
2025-04-01T00:00:00Z,60017455,2174451
2025-05-01T00:00:00Z,60038265,2177182
2025-06-01T00:00:00Z,60069785,2186622
2025-07-01T00:00:00Z,60085600,2198883
2025-08-01T00:00:00Z,60121600,2216777
2025-09-01T00:00:00Z,60160920,2222894
2025-10-01T00:00:00Z,60215565,2222894
2025-11-01T00:00:00Z,60249200,2222894
2025-12-01T00:00:00Z,60302088,2234310
2026-01-01T00:00:00Z,60354955,2310615
2026-02-01T00:00:00Z,60385655,2313270
2026-03-01T00:00:00Z,60411160,2319196
2026-04-01T00:00:00Z,60441065,2319196
2026-05-01T00:00:00Z,60468920,2330750
2026-06-01T00:00:00Z,60521635,2330750
2026-07-01T00:00:00Z,60566193,2351454
2026-08-01T00:00:00Z,,
2026-09-01T00:00:00Z,,
2026-10-01T00:00:00Z,,
2026-11-01T00:00:00Z,,
2026-12-01T00:00:00Z,,
